sentence_id,sentence,bucket,list_number
49,All you had to do was walk away.,<2.25,6
153,Only one of them could have done that.,<2.25,6
326,He was holding his backpack over his head.,3.25-4.25,6
753,"Imagining them in my newly dark hair, perhaps?",>5.25,6
59,I really haven't made up my mind yet.,<2.25,6
512,The other two float out into the vacuum.,4.25-5.25,6
420,He put half a dozen in his pouch.,3.25-4.25,6
68,He picked it up and looked at it.,<2.25,6
733,They must purchase the electric power at wholesale.,>5.25,6
403,They were putting on a mask of calm.,3.25-4.25,6
625,"With luck, maybe it will work without trouble.",4.25-5.25,6
185,Suddenly there was an image in my mind.,2.25-3.25,6
139,There's a lot of things I can't change.,<2.25,6
496,She shopped for only one thing: a bargain.,4.25-5.25,6
148,Let me know what you think of that.,<2.25,6
492,There's already a half million in this portfolio.,4.25-5.25,6
103,"Mister, I don't want to know your name.",<2.25,6
319,Then you should go back to your table.,2.25-3.25,6
508,The elves nodded and headed for the house.,4.25-5.25,6
549,It is the second planet from their sun.,4.25-5.25,6
729,Making what we all believe look like dirt,>5.25,6
72,We have a lot of work to do.,<2.25,6
265,And are you happy with your new book?,2.25-3.25,6
724,Every second wasted in negotiation made her nervous.,>5.25,6
101,How am I supposed to tell the difference?,<2.25,6
580,Where would a wise man hide a leaf?,4.25-5.25,6
79,I didn't even know you were in town.,<2.25,6
194,People looked at him for a few seconds.,2.25-3.25,6
721,Bryan produced a card immediately and introduced himself.,>5.25,6
40,"Look, do you want my help or not?",<2.25,6
391,The eyes are the window to the soul.,3.25-4.25,6
270,He had no desire to work for him.,2.25-3.25,6
372,"There was no hesitation for him, no nerves.",3.25-4.25,6
343,That decision was an easy one to make.,3.25-4.25,6
576,This was a major advance in workshop technology.,4.25-5.25,6
427,"One, two, or a thousand more wouldn't matter.",3.25-4.25,6
282,It was time for the first pep talk.,2.25-3.25,6
7,What are you going to do about it?,<2.25,6
643,Was he pleading for release or to serve?,4.25-5.25,6
748,Dixie set her tea down and leaned forward.,>5.25,6
354,She should have started with something much smaller.,3.25-4.25,6
768,Her locked gaze remained in place this time.,>5.25,6
221,It was going to be a challenging night.,2.25-3.25,6
37,That's the funniest thing I have ever seen.,<2.25,6
262,"All right, tell me what you do know.",2.25-3.25,6
415,Here I could see the clear winter sky.,3.25-4.25,6
784,I slid into the other side with Herbert.,>5.25,6
50,I gave it to you as a present.,<2.25,6
294,"A place where they live, so to speak.",2.25-3.25,6
388,On the way back it grew quite dark.,3.25-4.25,6
799,German soil lay only a league from here.,>5.25,6
380,He speaks without the aid of a microphone.,3.25-4.25,6
509,"I blinked rapidly, struggling to pull myself together.",4.25-5.25,6
704,The yellow edge stripes represent achievement or brilliance.,>5.25,6
360,But the pen had been useless to him.,3.25-4.25,6
737,She traveled the state trying to secure funds.,>5.25,6
745,She is very powerful and famously quite ruthless.,>5.25,6
521,The designs include a building at the bottom.,4.25-5.25,6
675,Old fingers turned the safe dial several times.,>5.25,6
82,"You weren't going to tell me, were you?",<2.25,6
564,She so looked forward to her new career.,4.25-5.25,6
93,Do you know anyone who can do that?,<2.25,6
213,He was not a young man any more.,2.25-3.25,6
140,I've never been able to figure it out.,<2.25,6
211,"She listened for a moment, but heard nothing.",2.25-3.25,6
536,The fox was already heading for the van.,4.25-5.25,6
510,It was an idea he kept on voicing.,4.25-5.25,6
339,He took a few steps down the hallway.,3.25-4.25,6
276,It was the end of the forest road.,2.25-3.25,6
147,Why do you stare at me like that?,<2.25,6
780,"Way to own that ball pit today, Sarah.",>5.25,6
28,Those were the best years of my life.,<2.25,6
298,All they do is cry all the time.,2.25-3.25,6
207,It made her feel like she was home.,2.25-3.25,6
450,I know I'm out of my own crowd.,3.25-4.25,6
491,"She loosed a breath, her face suddenly warm.",4.25-5.25,6
669,She repeated the same direction with her socks.,>5.25,6
772,"Julian tried, and failed to not sound nervous.",>5.25,6
172,That's the part I want to know about.,2.25-3.25,6
386,Her father eyed her for a short moment.,3.25-4.25,6
18,So what do you want me to do?,<2.25,6
634,"One dance, but you better not upset her.",4.25-5.25,6
158,"In any case, we're going to find out.",<2.25,6
428,His mind raced as hard as his legs.,3.25-4.25,6
240,Do you know why we are here tonight?,2.25-3.25,6
12,"Listen, I have to get out of here.",<2.25,6
80,My mother had nothing to do with this.,<2.25,6
143,Your father asked me to speak to you.,<2.25,6
525,Her sister was the only example she needed.,4.25-5.25,6
552,He was inside a house made of cheese.,4.25-5.25,6
34,"Soon, there was a knock at the door.",<2.25,6
698,She took this as a green light opportunity.,>5.25,6
511,A heart of stone can turn to clay,4.25-5.25,6
368,I want to bring people to the stands.,3.25-4.25,6
87,I would like to ask you some questions.,<2.25,6
710,Area residents donated basement space for sorting eyeglasses.,>5.25,6
782,A house number clearly visible over the door.,>5.25,6
31,Because it was the right thing to do.,<2.25,6
413,What kinds of things do you often eat?,3.25-4.25,6
300,John sat down on the steps and waited.,2.25-3.25,6
