sentence_id,sentence,bucket,list_number
377,"Surely, he cannot be jealous of the baby?",3.25-4.25,8
696,Relief swept through her when she found one.,>5.25,8
404,There is a little white at the base.,3.25-4.25,8
398,What did you put for your best feature?,3.25-4.25,8
81,I want you to have a good time.,<2.25,8
42,"It's the logical thing to do, isn't it?",<2.25,8
145,"Truth is, I don't know what to say.",<2.25,8
55,"You were right, you were right all along.",<2.25,8
657,A bead of sweat rolled down Wayne's forehead.,>5.25,8
159,That's exactly what I want you to do.,<2.25,8
471,It seems the rumors were not far off.,3.25-4.25,8
668,Elizabeth was sorting jars and tins of food.,>5.25,8
286,Did you see an animal of any kind?,2.25-3.25,8
258,I wonder how long I have been away.,2.25-3.25,8
582,"Then, she filled a bucket for her horse.",4.25-5.25,8
202,He'd want to know as soon as possible.,2.25-3.25,8
193,I was supposed to be doing something else.,2.25-3.25,8
522,Expensive furniture and paintings filled room after room.,4.25-5.25,8
498,Very little is known about his sumo career.,4.25-5.25,8
23,May I buy you a cup of coffee?,<2.25,8
331,Was there anything left for me to find?,3.25-4.25,8
38,Are you sure you want to see it?,<2.25,8
367,"When you are down, your money is sad.",3.25-4.25,8
678,My lungs felt dusty from all the books.,>5.25,8
248,Slowly I was getting used to the dark.,2.25-3.25,8
504,"Slowly, a faint energy signature started to resonate.",4.25-5.25,8
58,"Hey, what do you think of these boots?",<2.25,8
689,The absence of water dripping indicated a column.,>5.25,8
247,I didn't want to say goodbye to anyone.,2.25-3.25,8
45,"Yes, this is what I wanted to say.",<2.25,8
515,Here is the six month's increase in advance.,4.25-5.25,8
303,Your grandmother took care of that for you.,2.25-3.25,8
790,Matt replaced the receiver and returned to Sue.,>5.25,8
779,Something lead singers in rock bands wouldn't get.,>5.25,8
8,Are you sure you want to do this?,<2.25,8
241,She was working as quickly as she could.,2.25-3.25,8
777,A spark of compassion changed her friend's expression.,>5.25,8
355,I can blow smoke out of my ears.,3.25-4.25,8
732,"They both pushed up, eyes meeting with worry.",>5.25,8
196,You need to have a friend with you.,2.25-3.25,8
644,The sound of the loud television startles me.,>5.25,8
170,It was going to be a fun night.,2.25-3.25,8
292,What kind of a connection could that be?,2.25-3.25,8
122,Do you really expect me to believe that?,<2.25,8
641,But her brittle smile remained stubbornly in place.,>5.25,8
102,"For a moment, they stared at each other.",<2.25,8
473,That's always been a point in their favor.,3.25-4.25,8
770,A second helicopter appeared over the Lincoln Memorial.,>5.25,8
243,"At the top of my lungs, I screamed.",2.25-3.25,8
715,"This fanaticism and this exhibitionism, I would ban.",>5.25,8
315,I don't see how it can be avoided.,2.25-3.25,8
201,"During the day, I listened to the kids.",2.25-3.25,8
293,I see the way you look at me.,2.25-3.25,8
440,A recitation by the farmer in the dell.,3.25-4.25,8
487,He opened it and inspected the precious content.,4.25-5.25,8
389,Then the cave yawned in front of them.,3.25-4.25,8
13,What am I supposed to do with this?,<2.25,8
323,"Finally, I slapped a hand over my eyes.",3.25-4.25,8
670,A raw consolation halfway out of studio habitat.,>5.25,8
520,Both the bands now wear a designated uniform.,4.25-5.25,8
601,Jack dressed up a bit for the evening.,4.25-5.25,8
112,They couldn't get out of here fast enough.,<2.25,8
639,You park half a mile from the club.,4.25-5.25,8
613,It probably was hard getting into our company.,4.25-5.25,8
463,I'm guessing she went somewhere and forgot it.,3.25-4.25,8
694,I agreed with the campaign against invalid voting,>5.25,8
272,We'd be here for the next ten years.,2.25-3.25,8
183,Exercise is a great way to relieve stress.,2.25-3.25,8
128,"You still haven't figured it out, have you?",<2.25,8
358,"The feeling was exquisite, unique and indescribably serene.",3.25-4.25,8
318,I was supposed to send this to you.,2.25-3.25,8
353,I needed to focus on here and now.,3.25-4.25,8
611,"Came the morrow, and nothing was sorted out.",4.25-5.25,8
190,We stood at the top of the hill.,2.25-3.25,8
566,Sylvia felt caught off guard by that question.,4.25-5.25,8
370,She grew up in a very musical household.,3.25-4.25,8
245,She puts her arm about her daughter's shoulder.,2.25-3.25,8
182,I'll be around for a few more days.,2.25-3.25,8
476,You've just entered into a very profitable arrangement.,3.25-4.25,8
796,Was he remembering what such tenderness felt like?,>5.25,8
630,Her issues are a complete opposite of yours.,4.25-5.25,8
545,That season the team finished as the seventh.,4.25-5.25,8
792,A new aircraft parking apron was also constructed.,>5.25,8
71,Are you sure you know what you're doing?,<2.25,8
507,Daniel bowed his head in a slight nod.,4.25-5.25,8
46,I had no idea what I was doing.,<2.25,8
366,"It was, she decided, quite a nice feeling.",3.25-4.25,8
659,The answering grin from both boys was electric.,>5.25,8
259,You have to be experienced to do this.,2.25-3.25,8
310,What brings you here so late at night?,2.25-3.25,8
338,"Someone stepped on her heel, tripping her up.",3.25-4.25,8
765,Many election officials even declined to show up.,>5.25,8
173,"There's something cool about that, don't you think?",2.25-3.25,8
407,"Again, he was unable to find the fragment.",3.25-4.25,8
419,My pride has taken the best of me.,3.25-4.25,8
144,Why won't you tell me what's going on?,<2.25,8
66,May I presume to ask you a question?,<2.25,8
175,"Just at that moment, the lights went out.",2.25-3.25,8
6,May I speak to you for a moment?,<2.25,8
769,It is best if I curb my craving.,>5.25,8
