sentence_id,sentence,bucket,list_number
656,Now it runs without any rake sharing arrangement.,>5.25,2
702,I began to ride a first rate hunch.,>5.25,2
251,"Not that I didn't like the cat, too.",2.25-3.25,2
235,I'm in the middle of something important here.,2.25-3.25,2
384,The launch was delayed by a few months.,3.25-4.25,2
330,He got up and headed toward the kitchen.,3.25-4.25,2
39,Promise me you won't put yourself in danger.,<2.25,2
187,"Otherwise, I won't give you any new information.",2.25-3.25,2
544,"Start to finish, the meal took seven minutes.",4.25-5.25,2
314,A knock at the front door interrupted me.,2.25-3.25,2
705,"He gestures between us, like now we're connected.",>5.25,2
287,Right now it's just wonderful to be back.,2.25-3.25,2
477,There is too much happening in world politics.,3.25-4.25,2
297,How many times did you try calling her?,2.25-3.25,2
363,Freedom is the greatest prize of them all.,3.25-4.25,2
561,You alone have stood up to their guards.,4.25-5.25,2
198,"Honestly, what do you think of the yearbook?",2.25-3.25,2
579,"Well, you should always let a roast rest.",4.25-5.25,2
452,Everything was running as usual in her head.,3.25-4.25,2
4,Do you understand what I'm trying to say?,<2.25,2
671,Teddy tilted his face into the soft rain.,>5.25,2
435,And how are you enjoying this fine evening?,3.25-4.25,2
347,"When she stepped into view, she saw everyone.",3.25-4.25,2
747,And Matt wandered off to investigate the grounds.,>5.25,2
225,I'm not the only one on your trail.,2.25-3.25,2
357,He put the receiver down and sat up.,3.25-4.25,2
730,Some tapes of my studio and some books.,>5.25,2
449,It took him a moment to remember it.,3.25-4.25,2
342,"He was at the wrong place, wrong time.",3.25-4.25,2
788,His little globe of light revealed a tunnel.,>5.25,2
209,"He wanted answers, but he didn't need them.",2.25-3.25,2
658,"She was pale, twenty shades lighter than white.",>5.25,2
151,That was how it was supposed to be.,<2.25,2
555,"It could be one, but feels like fifty.",4.25-5.25,2
789,His pitch streaked by; the batter almost ducked.,>5.25,2
620,Mentally he made note of the day's activities.,4.25-5.25,2
475,It was from last night at around midnight.,3.25-4.25,2
246,I think that might have been the truth.,2.25-3.25,2
592,She does not want to assume anything yet.,4.25-5.25,2
218,The couple had a daughter and a son.,2.25-3.25,2
340,He had only ever seen them in books.,3.25-4.25,2
205,We sat in silence for a few moments.,2.25-3.25,2
137,Are you sure that I can do it?,<2.25,2
495,I'm not up to unraveling subtle hints today.,4.25-5.25,2
540,The operation was canceled only hours before launch.,4.25-5.25,2
184,"I'm not sure how old I am, either.",2.25-3.25,2
189,This is the proof I've been waiting for.,2.25-3.25,2
673,All versions of this document refer to influenza.,>5.25,2
111,There's so much to see in this house.,<2.25,2
230,Are you going to the race on Saturday?,2.25-3.25,2
604,"Jake blushed, his face looked like a carrot.",4.25-5.25,2
674,I therefore postpone a final decision until Friday.,>5.25,2
216,I really appreciate what you did for me.,2.25-3.25,2
528,He had ripped off the face mask too.,4.25-5.25,2
431,There was nothing he found off about them.,3.25-4.25,2
490,The hiss of silk brought his head up.,4.25-5.25,2
526,These were all instruments meant for specific situations.,4.25-5.25,2
17,We've got a lot of work to do.,<2.25,2
311,"It belongs here, just like you belong here.",2.25-3.25,2
608,The average man would go after the reward.,4.25-5.25,2
655,Similar weak pyrotechnics drizzled from the other batteries.,>5.25,2
180,That would have been too easy for me.,2.25-3.25,2
750,The voices were getting louder and sounded agitated.,>5.25,2
320,Am I supposed to learn something from this?,2.25-3.25,2
373,The other side was in a similar situation.,3.25-4.25,2
97,I didn't even want to think about that.,<2.25,2
291,That's why we hired you to confirm it.,2.25-3.25,2
741,Most were curiously quiet and wary around him.,>5.25,2
614,Two French colonial buildings are still seen here.,4.25-5.25,2
44,Why don't you go play in your room?,<2.25,2
751,She grabbed what was handy and she moved.,>5.25,2
439,He featured in a number of stage productions.,3.25-4.25,2
484,You're meddling with powers you cannot possibly comprehend.,4.25-5.25,2
163,It wasn't the first time he'd heard it.,2.25-3.25,2
589,Admission period cannot be extended under the program.,4.25-5.25,2
632,I know how private you and Sally are.,4.25-5.25,2
53,She opened her eyes and looked at me.,<2.25,2
29,Now I'll be back in a few minutes.,<2.25,2
506,"Her brow puckered as once again, she couldn't.",4.25-5.25,2
313,Could we go with you and film it?,2.25-3.25,2
787,Seth would marry Beth and have ten kids.,>5.25,2
577,I'll choose her tomorrow and every day after.,4.25-5.25,2
269,She liked going to the racetrack so much.,2.25-3.25,2
199,Of course there had to be a plan.,2.25-3.25,2
129,I don't even know why I do it.,<2.25,2
680,Dipped sweet in honey to drip thy shine.,>5.25,2
646,"He reached a hand, knowing she would help.",>5.25,2
417,Two o'clock arrived and so did the guests.,3.25-4.25,2
120,"What do you mean, what am I doing?",<2.25,2
274,There are too many odd things going on.,2.25-3.25,2
418,These changes are then passed on to offspring.,3.25-4.25,2
15,When was the last time you saw him?,<2.25,2
723,The surrounding farms and woods get more extensive.,>5.25,2
227,"Sometimes, all you need is the right motivation.",2.25-3.25,2
739,But free baked goods would soak it up!,>5.25,2
637,Danny tipped his head to that and smiled.,4.25-5.25,2
48,Time for me to go to the bathroom.,<2.25,2
307,Can you just please come down from there?,2.25-3.25,2
165,Did you do what you were supposed to?,2.25-3.25,2
563,The lad joined him at the front gate.,4.25-5.25,2
